 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | gamma_stat_CCSR5_bin_8 | 0 / 0 | 0.00399245 / -0.00399245 | 0.00160901 / -0.00160901 | 8.51853e-07 / -8.51853e-07 | 4.44283e-08 / -4.44283e-08 | 0.00375724 / -0.00375724 | 0.0163866 / -0.0163866 | 0.0116475 / -0.0116475 | 0.00545951 / -0.00545951 | 0.00714353 / -0.00714353 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_9 | 0 / 0 | 0.0060129 / -0.0060129 | 0.00294384 / -0.00294384 | 9.49098e-07 / -9.49098e-07 | 0.00372243 / -0.00372243 | 0.00707927 / -0.00707927 | 0.0169375 / -0.0169375 | 0.0107481 / -0.0107481 | 0.00495873 / -0.00495873 | 0.00440143 / -0.00440143 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_10 | 0 / 0 | 0.0126456 / -0.0126456 | 0.00547504 / -0.00547504 | 0.00970942 / -0.00970942 | 0.00452202 / -0.00452202 | 2.18351e-08 / -2.18351e-08 | 0.00971719 / -0.00971719 | 0.010161 / -0.010161 | 0.00233153 / -0.00233153 | 0.00172656 / -0.00172656 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_11 | 0 / 0 | 0.0145403 / -0.0145403 | 0.00964418 / -0.00964418 | 0.0106459 / -0.0106459 | 0.00537826 / -0.00537826 | 2.53546e-08 / -2.53546e-08 | 0.00507044 / -0.00507044 | 0.0040876 / -0.0040876 | 0.00544307 / -0.00544307 | 0.00147718 / -0.00147718 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_12 | 0 / 0 | 0.0144923 / -0.0144923 | 0.0123485 / -0.0123485 | 0.00768623 / -0.00768623 | 0.0166271 / -0.0166271 | 0.00394141 / -0.00394141 | 0.00174872 / -0.00174872 | 0.00275362 / -0.00275362 | 0.00545233 / -0.00545233 | 0.00108069 / -0.00108069 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_13 | 0 / 0 | 0.014217 / -0.014217 | 0.0123333 / -0.0123333 | 0.0210061 / -0.0210061 | 0.00792102 / -0.00792102 | 0.00357869 / -0.00357869 | 0.000226116 / -0.000226116 | 0.000991044 / -0.000991044 | 0.00248159 / -0.00248159 | 0.000374042 / -0.000374042 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_14 | 0 / 0 | 0.00989456 / -0.00989456 | 0.0127128 / -0.0127128 | 0.0110576 / -0.0110576 | 0.0145605 / -0.0145605 | 1.62083e-08 / -1.62083e-08 | 0.000580096 / -0.000580096 | 0.00175657 / -0.00175657 | 0.00194797 / -0.00194797 | 0.000236135 / -0.000236135 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_15 | 0 / 0 | 0.00907974 / -0.00907974 | 0.0168163 / -0.0168163 | 0.0169827 / -0.0169827 | 0.0202439 / -0.0202439 | 0.0062059 / -0.0062059 | 0.000863876 / -0.000863876 | 0.00131258 / -0.00131258 | 0.00756933 / -0.00756933 | 0.000242501 / -0.000242501 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_16 | 0 / 0 | 0.00537188 / -0.00537188 | 0.0127812 / -0.0127812 | 0.010525 / -0.010525 | 0.013878 / -0.013878 | 0.0116199 / -0.0116199 | 0.000586494 / -0.000586494 | 0.00182394 / -0.00182394 | 0.0018502 / -0.0018502 | 0.000415117 / -0.000415117 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR5_bin_17 | 0 / 0 | 0.00488 / -0.00488 | 0.00835702 / -0.00835702 | 0.00409398 / -0.00409398 | 0.0075357 / -0.0075357 | 0.00511661 / -0.00511661 | 7.26859e-05 / -7.26859e-05 | 0.00140964 / -0.00140964 | 0.00313997 / -0.00313997 | 0.00101356 / -0.00101356 | 0 / 0 | 0 / 0 |
