 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_QG_nchargedExp | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0353875 / 0.0216974 | -0.0915838 / 0.102655 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_wBBSR1_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.503774 / -0.501741 | 0.503774 / -0.501741 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedPDF | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0217168 / 0.021715 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_QG_nchargedME | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.049058 / 0.049038 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_biasBBSR1_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.21257 / -1 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_0 | 0 / 0 | 0.000204527 / -0.000204527 | 0 / 0 | 1.35698e-06 / -1.35698e-06 | 0.00010178 / -0.00010178 | 7.19333e-07 / -7.19333e-07 | 5.83072e-05 / -5.83072e-05 | 3.48929e-05 / -3.48929e-05 | 7.38731e-05 / -7.38731e-05 | 0.00606852 / -0.00606852 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_1 | 0 / 0 | 0.000229318 / -0.000229318 | 0 / 0 | 1.04733e-06 / -1.04733e-06 | 8.73664e-05 / -8.73664e-05 | 5.55187e-07 / -5.55187e-07 | 4.30669e-05 / -4.30669e-05 | 6.57066e-06 / -6.57066e-06 | 0.000180456 / -0.000180456 | 0.0202453 / -0.0202453 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_2 | 0 / 0 | 0.0002424 / -0.0002424 | 0 / 0 | 0.000610736 / -0.000610736 | 8.64289e-05 / -8.64289e-05 | 6.1084e-07 / -6.1084e-07 | 0.00567357 / -0.00567357 | 0.0040887 / -0.0040887 | 0.00320837 / -0.00320837 | 0.015165 / -0.015165 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_3 | 0 / 0 | 0.00103037 / -0.00103037 | 0 / 0 | 1.4768e-06 / -1.4768e-06 | 0.000110767 / -0.000110767 | 7.82847e-07 / -7.82847e-07 | 0.0183736 / -0.0183736 | 0.0423458 / -0.0423458 | 0.000392693 / -0.000392693 | 0.0306809 / -0.0306809 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_4 | 0 / 0 | 0.000863845 / -0.000863845 | 0 / 0 | 1.49228e-06 / -1.49228e-06 | 0.000111928 / -0.000111928 | 0.0998504 / -0.0998504 | 0.0209394 / -0.0209394 | 1.62708e-05 / -1.62708e-05 | 0.269423 / -0.269423 | 0.0533047 / -0.0533047 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_5 | 0 / 0 | 0.000768919 / -0.000768919 | 0 / 0 | 5.07782e-07 / -5.07782e-07 | 0.0113397 / -0.0113397 | 2.69174e-07 / -2.69174e-07 | 0.0231784 / -0.0231784 | 0.00894976 / -0.00894976 | 0.000335547 / -0.000335547 | 0.0274675 / -0.0274675 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_6 | 0 / 0 | 0.00107609 / -0.00107609 | 0 / 0 | 6.8103e-07 / -6.8103e-07 | 5.10802e-05 / -5.10802e-05 | 3.61012e-07 / -3.61012e-07 | 0.0314262 / -0.0314262 | 0.0259898 / -0.0259898 | 0.00161484 / -0.00161484 | 0.0542349 / -0.0542349 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_7 | 0 / 0 | 0.00185386 / -0.00185386 | 0.00607393 / -0.00607393 | 6.74222e-07 / -6.74222e-07 | 5.05696e-05 / -5.05696e-05 | 3.57403e-07 / -3.57403e-07 | 0.04435 / -0.04435 | 0.0615598 / -0.0615598 | 0.000364678 / -0.000364678 | 0.0251213 / -0.0251213 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_8 | 0 / 0 | 0.00219758 / -0.00219758 | 0.00787508 / -0.00787508 | 3.8745e-07 / -3.8745e-07 | 2.90604e-05 / -2.90604e-05 | 0.0548425 / -0.0548425 | 0.0281775 / -0.0281775 | 0.000501339 / -0.000501339 | 0.000160591 / -0.000160591 | 0.0170253 / -0.0170253 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_9 | 0 / 0 | 0.00456978 / -0.00456978 | 0 / 0 | 5.45368e-07 / -5.45368e-07 | 0.0259581 / -0.0259581 | 2.89098e-07 / -2.89098e-07 | 0.0240381 / -0.0240381 | 0.0302528 / -0.0302528 | 0.000146686 / -0.000146686 | 0.00699359 / -0.00699359 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_10 | 0 / 0 | 0.00419642 / -0.00419642 | 0.00334127 / -0.00334127 | 0.0206099 / -0.0206099 | 0.00337359 / -0.00337359 | 1.50645e-07 / -1.50645e-07 | 0.00683611 / -0.00683611 | 0.00014823 / -0.00014823 | 0.000284247 / -0.000284247 | 0.0016247 / -0.0016247 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_11 | 0 / 0 | 0.0108533 / -0.0108533 | 0.0208604 / -0.0208604 | 0.000192681 / -0.000192681 | 2.98965e-05 / -2.98965e-05 | 2.11295e-07 / -2.11295e-07 | 0.00566901 / -0.00566901 | 0.014933 / -0.014933 | 0.000118409 / -0.000118409 | 0.00164808 / -0.00164808 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_17 | 0 / 0 | 0.00383113 / -0.00383113 | 0.00160853 / -0.00160853 | 1.80305e-07 / -1.80305e-07 | 0.0122919 / -0.0122919 | 9.55789e-08 / -9.55789e-08 | 2.11544e-06 / -2.11544e-06 | 2.15339e-06 / -2.15339e-06 | 4.94708e-05 / -4.94708e-05 | 0.000677126 / -0.000677126 | 0 / 0 | 0 / 0 |
 | gamma_stat_BBSR1_run3_bin_18 | 0 / 0 | 0.0118335 / -0.0118335 | 0.0185859 / -0.0185859 | 1.33734e-06 / -1.33734e-06 | 0.000100306 / -0.000100306 | 7.08919e-07 / -7.08919e-07 | 1.80675e-05 / -1.80675e-05 | 0.0497403 / -0.0497403 | 0.00110433 / -0.00110433 | 0.00186374 / -0.00186374 | 0 / 0 | 0 / 0 |
