 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_2223      | bias_2223 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0192868 / 0.0735297 | 0.0881128 / -0.0852335 | 0 / 0 | 9.63201e-06 / -1.06081e-05 | 0.0424681 / -0.00151761 | 0.0367703 / -0.0320545 | -0.0157568 / 0.0193487 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0498168 / 0.0193927 | 0.156491 / -0.156829 | 0 / 0 | -1.58543e-05 / 1.43685e-05 | 0.0139851 / 0.00770585 | 0 / 0 | -0.0220033 / 0.0219976 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | 0 / 0 | 0.298734 / -0.207319 | 0.116811 / -0.116687 | 0 / 0 | 0.0348535 / -0.0347578 | -0.0233841 / 0.049801 | 0.0138187 / -0.0060012 | 0.0457001 / -0.0325155 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | -0.038578 / 0.0385845 | 0.288979 / -0.287406 | 0 / 0 | 0.0107139 / -0.00946396 | 0.0709465 / -0.0610834 | 0.0508872 / -0.0328515 | 0.111925 / -0.103504 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0 / 0 | -0.117692 / 0.117694 | -0.0270454 / 0.0270458 | 0 / 0 | -0.0227847 / 0.0241499 | 0.0799946 / -0.0679706 | 0.0291676 / -0.0220949 | 0.0258727 / -0.0159776 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.287076 / -0.123894 | -0.0309661 / 0.0414437 | 0 / 0 | 0.0374252 / -0.0372331 | -0.0394937 / 0.0505441 | -0.0308798 / 0.0618546 | 0.0538057 / -0.0500065 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0_run3 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0100702 / 0.0100695 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_C_2_run3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0167572 / 0.0167554 | 0 / 0 | -0.0177787 / 0.0177767 | -0.0183147 / 0.0183125 | -0.0149296 / 0.0149282 | -0.0102926 / 0.0102919 | 0 / 0 | 0 / 0 |
 | dmu_ttCCSR3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.49924 / -0.4994 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_zCCSR3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.565783 / -0.513314 | 0.565783 / -0.513314 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
