 |       | multijet      | vbfhbb      | vbfhcc      | ggfhbb      | ggfhcc      | ttbar      | vbfz      | qcdz      | qcdw      | vbfw      | bias_18      | bias_18 |
 | JET_EffectiveNP_Modelling2 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0277754 / 0.021108 | 0.0761459 / -0.0726711 | 0 / 0 | -0.0237541 / 0.0241223 | -0.0239671 / 0.0289099 | -0.0280915 / 0.0280915 | -0.0309722 / 0.031456 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Mixed3 | 0 / 0 | 0 / 0 | 0 / 0 | 0.15203 / -0.0999997 | 0.109788 / -0.109788 | 0 / 0 | -0.0160855 / 0.016217 | 0.0360456 / -0.0319119 | -0.0283895 / 0.0286647 | 4.44089e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector2 | 0 / 0 | 0 / 0 | 0 / 0 | -0.209234 / 0.225374 | 0.0342283 / -0.0342283 | 0 / 0 | 0.0475815 / -0.0474135 | -0.0182082 / 0.0182083 | 0.015585 / -0.015585 | 0.0264468 / -0.0193211 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Detector1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.125533 / -0.104471 | -0.0564545 / 0.0655713 | 0 / 0 | -0.0270371 / 0.0273798 | 0.0334169 / -0.033417 | 0 / 0 | 0.0384199 / -0.0261022 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_6 | 0 / 0 | 0 / 0 | 0 / 0 | 0.110921 / -0.0962263 | -0.0350393 / 0.0350393 | 0 / 0 | 0.0122966 / -0.0122965 | 0.111696 / -0.106249 | 0.0490966 / -0.040552 | -0.0307898 / 0.0307899 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_8 | 0 / 0 | 0 / 0 | 0 / 0 | 0.165036 / -0.113731 | -0.0748565 / 0.0748566 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -0.0153944 / 0.0188578 | 0.067911 / -0.0645505 | 0.0325701 / -0.0128411 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_9 | 0 / 0 | 0 / 0 | 0 / 0 | -0.118128 / 0.123569 | 0.0592546 / -0.0592546 | 0 / 0 | 0.0626649 / -0.0610184 | 0.082815 / -0.0718956 | 0.0533362 / -0.0520798 | 0.0322449 / -0.0285831 | 0 / 0 | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0 / 0 | 0.329318 / -0.265543 | -0.0486068 / 0.0486068 | 0 / 0 | -0.0152127 / 0.0156224 | -0.0440186 / 0.0482071 | 0.0292317 / -0.0287925 | -0.0426553 / 0.0434285 | 0 / 0 | 0 / 0 |
 | dmu_ttCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_zCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | dmu_wCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0.5 / -0.5 | 0 / 0 | 0 / 0 |
 | dmu_biasCCSR4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1 / -1 | 0 / 0 |
 | gamma_stat_CCSR4_bin_0 | 0 / 0 | 3.84087e-07 / -3.84087e-07 | 0.000609799 / -0.000609799 | 0.00278728 / -0.00278728 | 2.68775e-07 / -2.68775e-07 | 1.2749e-07 / -1.2749e-07 | 0.00129306 / -0.00129306 | 0.00175245 / -0.00175245 | 0.00549997 / -0.00549997 | 0.00109186 / -0.00109186 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_1 | 0 / 0 | 0.0016276 / -0.0016276 | 0.000674641 / -0.000674641 | 5.10306e-06 / -5.10306e-06 | 2.25887e-07 / -2.25887e-07 | 1.07146e-07 / -1.07146e-07 | 0.00379538 / -0.00379538 | 0.00422894 / -0.00422894 | 0.00619241 / -0.00619241 | 0.00367595 / -0.00367595 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_2 | 0 / 0 | 0.00215847 / -0.00215847 | 0.000471643 / -0.000471643 | 4.0802e-06 / -4.0802e-06 | 1.8061e-07 / -1.8061e-07 | 8.56699e-08 / -8.56699e-08 | 0.00394568 / -0.00394568 | 0.00443 / -0.00443 | 0.00801577 / -0.00801577 | 0.00594302 / -0.00594302 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_3 | 0 / 0 | 0.000980436 / -0.000980436 | 0.000498655 / -0.000498655 | 3.28369e-06 / -3.28369e-06 | 1.45352e-07 / -1.45352e-07 | 6.89461e-08 / -6.89461e-08 | 0.00473885 / -0.00473885 | 0.0024496 / -0.0024496 | 0.00783713 / -0.00783713 | 0.0112285 / -0.0112285 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_4 | 0 / 0 | 0.00156523 / -0.00156523 | 0.000355055 / -0.000355055 | 0.000805886 / -0.000805886 | 1.16775e-07 / -1.16775e-07 | 5.53906e-08 / -5.53906e-08 | 0.00492965 / -0.00492965 | 0.00170449 / -0.00170449 | 0.00807298 / -0.00807298 | 0.0176829 / -0.0176829 | 0 / 0 | 0 / 0 |
 | gamma_stat_CCSR4_bin_5 | 0 / 0 | 0.00106592 / -0.00106592 | 0.00057822 / -0.00057822 | 0.00531241 / -0.00531241 | 8.34749e-08 / -8.34749e-08 | 3.95953e-08 / -3.95953e-08 | 0.00860678 / -0.00860678 | 0.00352144 / -0.00352144 | 0.00736261 / -0.00736261 | 0.0210265 / -0.0210265 | 0 / 0 | 0 / 0 |
